Pipeline created from /mnt/ufs18/home-119/llorente/blk/projection_movie.pipe
Runtime: 0:00:00.011472
Cache set to : /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache
  Segment  Name                         Hashcode                          Dependencies                 Save Action    Always run    Output File
        1  static_projection[29]        41ce77a9a0cf4c023868320e1c029b4d  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/41ce77a9a0cf4c023868320e1c029b4d
        1  static_projection[30]        a8ca3c69212b61e2dc609bda0b3ad88f  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/a8ca3c69212b61e2dc609bda0b3ad88f
        1  static_projection[31]        7a11cf30824c187b8636f82cb58d0201  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/7a11cf30824c187b8636f82cb58d0201
        1  static_projection[32]        888b0ad973465889671965aaaf375b91  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/888b0ad973465889671965aaaf375b91
        1  static_projection[33]        446b57c888ac353bb26e11d7269d3d79  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/446b57c888ac353bb26e11d7269d3d79
        1  static_projection[34]        911075396cbe20008b6d635b1bbb57b6  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/911075396cbe20008b6d635b1bbb57b6
        1  static_projection[35]        a981748a87e8ad8cd5cf43826a4d29bf  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/a981748a87e8ad8cd5cf43826a4d29bf
        1  static_projection[36]        7ccca75b3a911f1bf1bc96723038d220  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/7ccca75b3a911f1bf1bc96723038d220
        1  static_projection[37]        360086e963a7b6ecafcd6e36f60d0e8a  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/360086e963a7b6ecafcd6e36f60d0e8a
        1  static_projection[38]        7406e61d25081924ac5ef31e3a99c39e  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/7406e61d25081924ac5ef31e3a99c39e
        1  static_projection[39]        aad5c31f24b1dfb105becd527c903482  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/aad5c31f24b1dfb105becd527c903482
        1  static_projection[40]        b723d7e7862939bde85edf6cd1540d3d  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/b723d7e7862939bde85edf6cd1540d3d
        1  static_projection[41]        51d527eb0be6bbe6d82fc7d0c9b59ff8  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/51d527eb0be6bbe6d82fc7d0c9b59ff8
        1  static_projection[42]        28ffa5c58f777fac0ab4492cf4904306  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/28ffa5c58f777fac0ab4492cf4904306
        1  static_projection[43]        efe5ffa68b7653f2847488f047f73c32  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/efe5ffa68b7653f2847488f047f73c32
        1  static_projection[44]        2a4146be7f3c2991d8d280224c0c114d  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/2a4146be7f3c2991d8d280224c0c114d
        1  static_projection[45]        689854f0fcb6cbfd06982d9b93e474a2  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/689854f0fcb6cbfd06982d9b93e474a2
        1  static_projection[46]        af78ee8ca1d9ba2cf57fd69c4cca16ec  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/af78ee8ca1d9ba2cf57fd69c4cca16ec
        1  static_projection[47]        2d029c5fb2c4763d356728459e04ea8c  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/2d029c5fb2c4763d356728459e04ea8c
        1  static_projection[48]        11a41a7e4af51386ab4c06f1b48d8f47  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/11a41a7e4af51386ab4c06f1b48d8f47
